ACK_Event,Time_s,Tahoe_Throughput_kbps,Reno_Throughput_kbps
149,1.224942,968.3475,1321.6103
150,1.232942,969.7775,1322.27
151,1.240942,971.4179,1322.9737
152,1.248942,973.2132,1323.722
153,1.256942,973.2104,1324.5042
154,1.264942,975.2061,1325.3205
155,1.272942,977.2563,1324.2733
156,1.280942,979.347,1325.1472
157,1.288942,981.4601,1326.0346
158,1.296942,981.7308,1326.9325
159,1.304942,983.8447,1327.8386
160,1.312942,985.9396,1325.1974
161,1.320942,988.0175,1326.132
162,1.328942,990.0777,1325.3105
163,1.336942,989.2393,1326.2545
164,1.344942,991.2803,1325.413
165,1.352942,993.3055,1326.3595
166,1.360942,995.3143,1327.2999
167,1.368942,997.3066,1328.2355
168,1.376942,999.2822,1329.169
169,1.384942,1001.2416,1330.0958
170,1.392942,1003.1843,1331.0171
171,1.400942,1003.3981,1331.9259
172,1.408942,1005.3189,1332.8298
173,1.416942,1007.2239,1333.7257
174,1.424942,1009.114,1334.6119
175,1.432942,1010.9898,1333.8186
176,1.440942,1012.8498,1334.6991
177,1.448942,1014.6966,1335.5757
178,1.456942,1016.5288,1336.4461
179,1.464942,1018.3467,1335.6737
180,1.472942,1019.1264,1334.9128
181,1.480942,1020.9194,1335.7787
182,1.488942,1022.6988,1336.6322
183,1.496942,1024.4645,1337.4764
184,1.504942,1024.622,1335.169
185,1.512942,1024.783,1336.0173
186,1.520942,1025.5219,1335.278
187,1.528942,1027.2543,1336.1206
188,1.536942,1024.8529,1335.3951
189,1.544942,1026.578,1336.2309
190,1.552942,1028.291,1335.5131
191,1.560942,1029.9912,1334.8419
192,1.568942,1031.6787,1335.667
193,1.576942,1033.3538,1336.484
194,1.584942,1032.5239,1334.2614
195,1.592942,1034.1852,1335.0716
196,1.600942,1035.8336,1335.8725
197,1.608942,1037.4683,1335.1767
198,1.616942,1039.0912,1335.97
199,1.624942,1040.7031,1335.2803
200,1.632942,1042.3034,1336.0661
201,1.640942,1042.9369,1335.382
202,1.648942,1043.5668,1336.1636
203,1.656942,1045.139,1335.49
204,1.664942,1045.2573,1336.2596
205,1.672942,1046.813,1337.0263
206,1.680942,1046.9291,1337.7833
207,1.688942,1047.0468,1338.5362
208,1.696942,995.3189,1337.8688
209,1.704942,981.1893,1335.833
210,1.712942,973.4307,1336.5829
211,1.720942,970.3019,1337.3267
212,1.728942,968.8484,1338.0651
213,1.736942,968.3898,1337.4139
214,1.744942,967.1835,1338.1423
215,1.752942,967.7796,1338.8623
